P 350, -100, 0, 0, 0, 0, 2, Level_1_(Top)
P 350, -75, -42, 255, 102, 255, 2, Level_2
P 350, -50, -86, 204, 0, 204, 2, Level_3
P 350, -25, -116, 178, 102, 255, 2, Level_4
P 350, 0, -149, 102, 0, 204, 2, Level_5_(Bottom)
L 159.0, 74.0, -131.0, 159.0, 83.0, -131.0, 102, 0, 204
L 159.0, 74.0, -131.0, 149.0, 69.0, -131.0, 102, 0, 204
L 149.0, 69.0, -131.0, 139.0, 57.0, -131.0, 102, 0, 204
L 139.0, 57.0, -131.0, 135.0, 36.0, -131.0, 102, 0, 204
L 135.0, 36.0, -131.0, 155.0, -12.0, -131.0, 102, 0, 204
L 155.0, -12.0, -131.0, 167.0, -12.0, -131.0, 102, 0, 204
L 167.0, -12.0, -131.0, 167.0, -14.0, -131.0, 102, 0, 204
L 176.0, -12.0, -131.0, 176.0, -23.0, -131.0, 102, 0, 204
L 176.0, -23.0, -131.0, 161.0, -23.0, -131.0, 102, 0, 204
L 161.0, -26.0, -131.0, 161.0, -25.0, -131.0, 102, 0, 204
L 153.0, -23.0, -131.0, 153.0, -25.0, -131.0, 102, 0, 204
L 151.0, -23.0, -131.0, 153.0, -23.0, -131.0, 102, 0, 204
L 151.0, -23.0, -131.0, 151.0, -14.0, -131.0, 102, 0, 204
L 151.0, -14.0, -131.0, 167.0, -14.0, -131.0, 102, 0, 204
L 153.0, -26.0, -131.0, 134.0, -26.0, -131.0, 102, 0, 204
L 134.0, -26.0, -131.0, 134.0, -67.0, -131.0, 102, 0, 204
L 134.0, -67.0, -131.0, 158.0, -67.0, -131.0, 102, 0, 204
L 169.0, -67.0, -131.0, 169.0, -44.0, -131.0, 102, 0, 204
L 169.0, -44.0, -131.0, 171.0, -44.0, -131.0, 102, 0, 204
L 171.0, -44.0, -131.0, 171.0, -26.0, -131.0, 102, 0, 204
L 171.0, -26.0, -131.0, 161.0, -26.0, -131.0, 102, 0, 204
L 158.0, -69.0, -131.0, 158.0, -68.0, -131.0, 102, 0, 204
L 167.0, -67.0, -131.0, 167.0, -68.0, -131.0, 102, 0, 204
L 169.0, -67.0, -131.0, 167.0, -67.0, -131.0, 102, 0, 204
L 167.0, -69.0, -131.0, 171.0, -69.0, -131.0, 102, 0, 204
L 171.0, -69.0, -131.0, 171.0, -107.0, -131.0, 102, 0, 204
L 171.0, -107.0, -131.0, 127.0, -107.0, -131.0, 102, 0, 204
L 127.0, -107.0, -131.0, 127.0, -105.0, -131.0, 102, 0, 204
L 127.0, -96.0, -131.0, 125.0, -96.0, -131.0, 102, 0, 204
L 127.0, -96.0, -131.0, 127.0, -69.0, -131.0, 102, 0, 204
L 127.0, -69.0, -131.0, 158.0, -69.0, -131.0, 102, 0, 204
L 60.0, -288.0, 0.0, 37.0, -292.0, 1.0, 0, 0, 0
L 37.0, -292.0, 1.0, 14.0, -292.0, 1.0, 0, 0, 0
L 14.0, -292.0, 1.0, 28.0, -310.0, 1.0, 0, 0, 0
L 28.0, -310.0, 1.0, 28.0, -319.0, 2.0, 0, 0, 0
L 28.0, -319.0, 2.0, 37.0, -319.0, 2.0, 0, 0, 0
L 37.0, -319.0, 2.0, 37.0, -302.0, 1.0, 0, 0, 0
L 37.0, -302.0, 1.0, 60.0, -295.0, 0.0, 0, 0, 0
L 60.0, -295.0, 0.0, 78.0, -295.0, 0.0, 0, 0, 0
L 78.0, -287.0, 0.0, 78.0, -295.0, 0.0, 0, 0, 0
L -77.0, -193.0, 0.0, -78.0, -188.0, 0.0, 0, 0, 255
L -78.0, -188.0, 0.0, -88.0, -192.0, 0.0, 0, 0, 255
L -88.0, -192.0, 0.0, -96.0, -190.0, 0.0, 0, 0, 255
L -96.0, -190.0, 0.0, -107.0, -187.0, 0.0, 0, 0, 255
L -107.0, -187.0, 0.0, -121.0, -187.0, 0.0, 0, 0, 255
L -121.0, -187.0, 0.0, -125.0, -193.0, 0.0, 0, 0, 255
L -125.0, -193.0, 0.0, -121.0, -204.0, 0.0, 0, 0, 255
L -121.0, -204.0, 0.0, -107.0, -207.0, 0.0, 0, 0, 255
L -107.0, -207.0, 0.0, -97.0, -207.0, 0.0, 0, 0, 255
L -97.0, -207.0, 0.0, -87.0, -204.0, 0.0, 0, 0, 255
L -87.0, -204.0, 0.0, -77.0, -193.0, 0.0, 0, 0, 255
L -42.0, -13.0, 0.0, -42.0, -8.0, 0.0, 0, 0, 255
L -42.0, -8.0, 0.0, -23.0, -5.0, 0.0, 0, 0, 255
L -23.0, -5.0, 0.0, -7.0, -5.0, 0.0, 0, 0, 255
L -7.0, -5.0, 0.0, 11.0, -7.0, 0.0, 0, 0, 255
L 11.0, -7.0, 0.0, 33.0, -5.0, 0.0, 0, 0, 255
L 33.0, -5.0, 0.0, 51.0, -11.0, 0.0, 0, 0, 255
L 51.0, -11.0, 0.0, 59.0, -12.0, 0.0, 0, 0, 255
L 59.0, -12.0, 0.0, 59.0, -17.0, 0.0, 0, 0, 255
L 59.0, -17.0, 0.0, 52.0, -19.0, 0.0, 0, 0, 255
L 52.0, -19.0, 0.0, 33.0, -16.0, 0.0, 0, 0, 255
L 33.0, -16.0, 0.0, 13.0, -19.0, 0.0, 0, 0, 255
L 13.0, -19.0, 0.0, -5.0, -23.0, 0.0, 0, 0, 255
L -5.0, -23.0, 0.0, -22.0, -23.0, 0.0, 0, 0, 255
L -22.0, -23.0, 0.0, -42.0, -13.0, 0.0, 0, 0, 255
L 162.0, 21.0, -4.0, 166.0, 25.0, -4.0, 0, 0, 0
L 166.0, 25.0, -4.0, 167.0, 69.0, -21.0, 0, 0, 0
L 167.0, 69.0, -21.0, 164.0, 90.0, -37.0, 0, 0, 0
L 164.0, 90.0, -37.0, 166.0, 92.0, -39.0, 255, 102, 255
L 166.0, 92.0, -39.0, 161.0, 113.0, -48.0, 255, 102, 255
L 161.0, 113.0, -48.0, 160.0, 119.0, -48.0, 255, 102, 255
L 160.0, 119.0, -48.0, 115.0, 82.0, -48.0, 255, 102, 255
L 115.0, 82.0, -48.0, 101.0, 82.0, -47.0, 255, 102, 255
L 101.0, 82.0, -47.0, 78.0, 76.0, -47.0, 255, 102, 255
L 78.0, 76.0, -47.0, 78.0, 67.0, -47.0, 255, 102, 255
L 78.0, 67.0, -47.0, 82.0, 60.0, -47.0, 255, 102, 255
L 82.0, 60.0, -47.0, 89.0, 53.0, -47.0, 255, 102, 255
L 89.0, 53.0, -47.0, 98.0, 45.0, -47.0, 255, 102, 255
L 98.0, 45.0, -47.0, 103.0, 35.0, -47.0, 255, 102, 255
L 103.0, 35.0, -47.0, 89.0, 4.0, -47.0, 255, 102, 255
L 89.0, 4.0, -47.0, 105.0, -5.0, -47.0, 255, 102, 255
L 105.0, -5.0, -47.0, 110.0, -13.0, -47.0, 255, 102, 255
L 110.0, -13.0, -47.0, 94.0, -30.0, -47.0, 255, 102, 255
L 94.0, -30.0, -47.0, 87.0, -43.0, -47.0, 255, 102, 255
L 87.0, -43.0, -47.0, 62.0, -66.0, -47.0, 255, 102, 255
L 62.0, -66.0, -47.0, 53.0, -78.0, -47.0, 255, 102, 255
L 53.0, -78.0, -47.0, 53.0, -125.0, -62.0, 255, 102, 255
L 53.0, -125.0, -62.0, 58.0, -131.0, -62.0, 255, 102, 255
L 39.0, -144.0, -62.0, 22.0, -128.0, -61.0, 255, 102, 255
L 22.0, -128.0, -61.0, 22.0, -102.0, -62.0, 255, 102, 255
L 22.0, -102.0, -62.0, 14.0, -102.0, -62.0, 255, 102, 255
L 14.0, -102.0, -62.0, 6.0, -101.0, -62.0, 255, 102, 255
L 6.0, -101.0, -62.0, -5.0, -100.0, -62.0, 255, 102, 255
L -5.0, -100.0, -62.0, -11.0, -113.0, -62.0, 255, 102, 255
L -11.0, -113.0, -62.0, -11.0, -128.0, -62.0, 255, 102, 255
L -11.0, -128.0, -62.0, 9.0, -128.0, -62.0, 255, 102, 255
L 9.0, -128.0, -62.0, 23.0, -141.0, -62.0, 255, 102, 255
L 23.0, -141.0, -62.0, 23.0, -168.0, -62.0, 255, 102, 255
L 23.0, -168.0, -62.0, 10.0, -170.0, -62.0, 255, 102, 255
L 10.0, -170.0, -62.0, 7.0, -167.0, -62.0, 255, 102, 255
L 7.0, -167.0, -62.0, -24.0, -168.0, -48.0, 255, 102, 255
L -24.0, -168.0, -48.0, -34.0, -174.0, -47.0, 255, 102, 255
L -24.0, -187.0, -46.0, -4.0, -185.0, -46.0, 255, 102, 255
L -4.0, -185.0, -46.0, 13.0, -187.0, -46.0, 255, 102, 255
L -34.0, -174.0, -47.0, -24.0, -187.0, -46.0, 255, 102, 255
L 13.0, -187.0, -46.0, 37.0, -182.0, -46.0, 255, 102, 255
L 76.0, -214.0, -46.0, 76.0, -223.0, -46.0, 255, 102, 255
L 76.0, -223.0, -46.0, 97.0, -227.0, -46.0, 255, 102, 255
L 160.0, -311.0, -46.0, 145.0, -331.0, -46.0, 255, 102, 255
L 125.0, -342.0, -46.0, 111.0, -346.0, -46.0, 255, 102, 255
L 111.0, -346.0, -46.0, 28.0, -346.0, -45.0, 255, 102, 255
L 28.0, -346.0, -45.0, -22.0, -331.0, -46.0, 255, 102, 255
L -22.0, -331.0, -46.0, -41.0, -317.0, -46.0, 255, 102, 255
L -41.0, -317.0, -46.0, -41.0, -290.0, -46.0, 255, 102, 255
L -41.0, -290.0, -46.0, -36.0, -272.0, -47.0, 255, 102, 255
L -36.0, -272.0, -47.0, -36.0, -240.0, -46.0, 255, 102, 255
L -36.0, -240.0, -46.0, -7.0, -230.0, -46.0, 255, 102, 255
L -7.0, -230.0, -46.0, 39.0, -232.0, -46.0, 255, 102, 255
L 39.0, -232.0, -46.0, 58.0, -223.0, -46.0, 255, 102, 255
L 58.0, -223.0, -46.0, 58.0, -215.0, -46.0, 255, 102, 255
L 58.0, -215.0, -46.0, 60.0, -199.0, -46.0, 255, 102, 255
L 60.0, -199.0, -46.0, 56.0, -188.0, -46.0, 255, 102, 255
L 56.0, -188.0, -46.0, 37.0, -196.0, -46.0, 255, 102, 255
L 37.0, -196.0, -46.0, 13.0, -203.0, -46.0, 255, 102, 255
L 13.0, -203.0, -46.0, -1.0, -196.0, -46.0, 255, 102, 255
L -1.0, -196.0, -46.0, -20.0, -196.0, -46.0, 255, 102, 255
L -20.0, -196.0, -46.0, -39.0, -194.0, -46.0, 255, 102, 255
L -39.0, -194.0, -46.0, -38.0, -186.0, -46.0, 255, 102, 255
L -38.0, -186.0, -46.0, -59.0, -151.0, -48.0, 255, 102, 255
L -59.0, -151.0, -48.0, -65.0, -153.0, -47.0, 255, 102, 255
L -65.0, -153.0, -47.0, -52.0, -178.0, -47.0, 255, 102, 255
L -52.0, -178.0, -47.0, -52.0, -192.0, -47.0, 255, 102, 255
L -52.0, -192.0, -47.0, -65.0, -201.0, -47.0, 255, 102, 255
L -65.0, -204.0, -46.0, -73.0, -204.0, -46.0, 255, 102, 255
L -73.0, -201.0, -47.0, -85.0, -185.0, -47.0, 255, 102, 255
L -85.0, -185.0, -47.0, -89.0, -191.0, -47.0, 255, 102, 255
L -89.0, -191.0, -47.0, -93.0, -191.0, -47.0, 255, 102, 255
L -93.0, -191.0, -47.0, -93.0, -179.0, -47.0, 255, 102, 255
L -93.0, -179.0, -47.0, -96.0, -172.0, -47.0, 255, 102, 255
L -96.0, -172.0, -47.0, -103.0, -166.0, -47.0, 255, 102, 255
L -103.0, -166.0, -47.0, -111.0, -163.0, -47.0, 255, 102, 255
L -111.0, -163.0, -47.0, -149.0, -191.0, -47.0, 255, 102, 255
L -149.0, -191.0, -47.0, -158.0, -191.0, -47.0, 255, 102, 255
L -158.0, -191.0, -47.0, -188.0, -166.0, -47.0, 255, 102, 255
L -188.0, -166.0, -47.0, -189.0, -159.0, -47.0, 255, 102, 255
L -189.0, -159.0, -47.0, -173.0, -149.0, -47.0, 255, 102, 255
L -173.0, -149.0, -47.0, -180.0, -143.0, -47.0, 255, 102, 255
L -180.0, -143.0, -47.0, -184.0, -123.0, -47.0, 255, 102, 255
L -184.0, -123.0, -47.0, -170.0, -76.0, -47.0, 255, 102, 255
L -170.0, -76.0, -47.0, -178.0, -67.0, -47.0, 255, 102, 255
L -178.0, -67.0, -47.0, -178.0, -50.0, -47.0, 255, 102, 255
L -178.0, -50.0, -47.0, -173.0, -41.0, -47.0, 255, 102, 255
L -173.0, -41.0, -47.0, -173.0, 8.0, -47.0, 255, 102, 255
L -173.0, 8.0, -47.0, -176.0, 23.0, -47.0, 255, 102, 255
L -176.0, 23.0, -47.0, -176.0, 37.0, -47.0, 255, 102, 255
L -176.0, 37.0, -47.0, -171.0, 53.0, -47.0, 255, 102, 255
L -171.0, 53.0, -47.0, -123.0, 92.0, -47.0, 255, 102, 255
L -123.0, 92.0, -47.0, -108.0, 95.0, -47.0, 255, 102, 255
L -108.0, 95.0, -47.0, -98.0, 96.0, -47.0, 255, 102, 255
L -99.0, 95.0, -53.0, -124.0, 84.0, -53.0, 0, 0, 255
L -124.0, 84.0, -53.0, -141.0, 67.0, -53.0, 0, 0, 255
L -141.0, 67.0, -53.0, -161.0, 53.0, -53.0, 0, 0, 255
L -161.0, 53.0, -53.0, -161.0, -45.0, -52.0, 0, 0, 255
L -161.0, -45.0, -52.0, -170.0, -50.0, -52.0, 0, 0, 255
L -170.0, -50.0, -52.0, -170.0, -67.0, -53.0, 0, 0, 255
L -170.0, -67.0, -53.0, -164.0, -75.0, -53.0, 0, 0, 255
L -164.0, -75.0, -53.0, -170.0, -99.0, -53.0, 0, 0, 255
L -170.0, -99.0, -53.0, -178.0, -123.0, -52.0, 0, 0, 255
L -178.0, -123.0, -52.0, -166.0, -143.0, -53.0, 0, 0, 255
L -166.0, -143.0, -53.0, -159.0, -143.0, -53.0, 0, 0, 255
L -159.0, -143.0, -53.0, -161.0, -123.0, -52.0, 0, 0, 255
L -161.0, -123.0, -52.0, -151.0, -97.0, -53.0, 0, 0, 255
L -151.0, -97.0, -53.0, -150.0, -77.0, -53.0, 0, 0, 255
L -150.0, -77.0, -53.0, -144.0, -67.0, -53.0, 0, 0, 255
L -144.0, -67.0, -53.0, -152.0, -46.0, -53.0, 0, 0, 255
L -152.0, -46.0, -53.0, -152.0, 26.0, -53.0, 0, 0, 255
L -152.0, 26.0, -53.0, -143.0, 35.0, -52.0, 0, 0, 255
L -143.0, 35.0, -52.0, -142.0, 52.0, -53.0, 0, 0, 255
L -142.0, 52.0, -53.0, -138.0, 52.0, -53.0, 0, 0, 255
L -138.0, 52.0, -53.0, -138.0, 60.0, -53.0, 0, 0, 255
L -138.0, 60.0, -53.0, -127.0, 60.0, -53.0, 0, 0, 255
L -127.0, 60.0, -53.0, -124.0, 69.0, -53.0, 0, 0, 255
L -124.0, 69.0, -53.0, -109.0, 75.0, -53.0, 0, 0, 255
L -109.0, 75.0, -53.0, -80.0, 77.0, -53.0, 0, 0, 255
L -80.0, 77.0, -53.0, -61.0, 91.0, -53.0, 0, 0, 255
L -61.0, 91.0, -53.0, -43.0, 106.0, -53.0, 0, 0, 255
L -43.0, 106.0, -53.0, -24.0, 103.0, -52.0, 0, 0, 255
L -24.0, 103.0, -52.0, -10.0, 107.0, -53.0, 0, 0, 255
L -10.0, 107.0, -53.0, 7.0, 131.0, -53.0, 0, 0, 255
L 7.0, 131.0, -53.0, 26.0, 136.0, -53.0, 0, 0, 255
L 26.0, 136.0, -53.0, 45.0, 121.0, -53.0, 0, 0, 255
L 45.0, 121.0, -53.0, 65.0, 107.0, -53.0, 0, 0, 255
L 65.0, 107.0, -53.0, 79.0, 93.0, -53.0, 0, 0, 255
L 79.0, 93.0, -53.0, 101.0, 141.0, -53.0, 0, 0, 255
L 101.0, 141.0, -53.0, 61.0, 140.0, -53.0, 0, 0, 255
L 61.0, 140.0, -53.0, 45.0, 143.0, -50.0, 0, 0, 255
L 45.0, 143.0, -50.0, 26.0, 153.0, -53.0, 0, 0, 255
L 26.0, 153.0, -53.0, 7.0, 139.0, -53.0, 0, 0, 255
L 7.0, 139.0, -53.0, -8.0, 129.0, -53.0, 0, 0, 255
L -8.0, 129.0, -53.0, -30.0, 124.0, -52.0, 0, 0, 255
L -30.0, 124.0, -52.0, -41.0, 126.0, -52.0, 0, 0, 255
L -41.0, 126.0, -52.0, -63.0, 104.0, -53.0, 0, 0, 255
L -63.0, 104.0, -53.0, -78.0, 95.0, -53.0, 0, 0, 255
L -78.0, 95.0, -53.0, -99.0, 95.0, -53.0, 0, 0, 255
L -80.0, 76.0, -47.0, -80.0, 96.0, -47.0, 0, 0, 0
L -80.0, 96.0, -47.0, -99.0, 96.0, -47.0, 0, 0, 0
L -99.0, 96.0, -47.0, -96.0, 76.0, -47.0, 0, 0, 0
L -96.0, 76.0, -47.0, -80.0, 76.0, -47.0, 0, 0, 0
L -81.0, 149.0, -47.0, -75.0, 155.0, -47.0, 255, 102, 255
L -75.0, 155.0, -47.0, -61.0, 161.0, -47.0, 255, 102, 255
L -61.0, 161.0, -47.0, -59.0, 165.0, -48.0, 255, 102, 255
L -59.0, 165.0, -48.0, -59.0, 176.0, -47.0, 255, 102, 255
L -59.0, 176.0, -47.0, -67.0, 191.0, -46.0, 255, 102, 255
L -67.0, 191.0, -46.0, -75.0, 194.0, -46.0, 255, 102, 255
L -75.0, 194.0, -46.0, -92.0, 177.0, -46.0, 255, 102, 255
L -92.0, 177.0, -46.0, -97.0, 170.0, -47.0, 255, 102, 255
L -97.0, 170.0, -47.0, -97.0, 155.0, -47.0, 255, 102, 255
L -97.0, 155.0, -47.0, -81.0, 149.0, -47.0, 255, 102, 255
L 62.0, 142.0, -46.0, 62.0, 107.0, -47.0, 0, 0, 0
L 62.0, 107.0, -47.0, 78.0, 92.0, -47.0, 0, 0, 0
L 78.0, 92.0, -47.0, 78.0, 142.0, -46.0, 0, 0, 0
L 78.0, 142.0, -46.0, 62.0, 142.0, -46.0, 0, 0, 0
L 46.0, 107.0, -47.0, 62.0, 74.0, -47.0, 255, 102, 255
L 62.0, 74.0, -47.0, 62.0, 68.0, -47.0, 255, 102, 255
L 62.0, 68.0, -47.0, 79.0, 53.0, -47.0, 255, 102, 255
L 79.0, 53.0, -47.0, 83.0, 45.0, -47.0, 255, 102, 255
L 83.0, 45.0, -47.0, 79.0, 36.0, -47.0, 255, 102, 255
L 79.0, 36.0, -47.0, 78.0, 22.0, -47.0, 255, 102, 255
L 78.0, 22.0, -47.0, 67.0, 22.0, -47.0, 255, 102, 255
L 65.0, 11.0, -47.0, 67.0, 11.0, -47.0, 255, 102, 255
L 65.0, 22.0, -47.0, 65.0, 45.0, -47.0, 255, 102, 255
L 65.0, 45.0, -47.0, 0.0, 74.0, -47.0, 255, 102, 255
L 0.0, 74.0, -47.0, -67.0, 46.0, -47.0, 255, 102, 255
L -67.0, 46.0, -47.0, -67.0, 0.0, -47.0, 255, 102, 255
L -67.0, 0.0, -47.0, -42.0, -28.0, -47.0, 255, 102, 255
L -42.0, -28.0, -47.0, 40.0, -28.0, -47.0, 255, 102, 255
L 40.0, -28.0, -47.0, 65.0, 0.0, -47.0, 255, 102, 255
L 65.0, 0.0, -47.0, 65.0, 11.0, -47.0, 255, 102, 255
L 43.0, 3.0, -47.0, 45.0, 1.0, -47.0, 0, 0, 0
L 45.0, 1.0, -47.0, 54.0, -1.0, -47.0, 0, 0, 0
L 54.0, -1.0, -47.0, 45.0, -3.0, -47.0, 0, 0, 0
L 45.0, -3.0, -47.0, 43.0, -5.0, -47.0, 0, 0, 0
L 43.0, -5.0, -47.0, 40.0, -15.0, -47.0, 0, 0, 0
L 40.0, -15.0, -47.0, 38.0, -5.0, -47.0, 0, 0, 0
L 38.0, -5.0, -47.0, 36.0, -3.0, -47.0, 0, 0, 0
L 36.0, -3.0, -47.0, 28.0, 0.0, -46.0, 0, 0, 0
L 28.0, 0.0, -46.0, 36.0, 1.0, -47.0, 0, 0, 0
L 36.0, 1.0, -47.0, 38.0, 3.0, -47.0, 0, 0, 0
L 38.0, 3.0, -47.0, 40.0, 13.0, -47.0, 0, 0, 0
L 40.0, 13.0, -47.0, 43.0, 3.0, -47.0, 0, 0, 0
L 40.0, 11.0, -46.0, 12.0, 38.0, -46.0, 0, 0, 0
L 12.0, 38.0, -46.0, 0.0, 50.0, -46.0, 0, 0, 0
L 12.0, 38.0, -46.0, 0.0, 26.0, -46.0, 0, 0, 0
L 0.0, 26.0, -46.0, 28.0, 0.0, -46.0, 0, 0, 0
L 40.0, 11.0, -46.0, 28.0, 0.0, -46.0, 0, 0, 0
L -42.0, 38.0, -59.0, -42.0, 11.0, -59.0, 255, 102, 255
L -42.0, 11.0, -59.0, -30.0, -1.0, -59.0, 255, 102, 255
L -30.0, -1.0, -59.0, -40.0, -13.0, -59.0, 255, 102, 255
L -40.0, -13.0, -59.0, -12.0, -13.0, -59.0, 255, 102, 255
L -12.0, -13.0, -59.0, -12.0, -28.0, -59.0, 255, 102, 255
L -12.0, -28.0, -59.0, -5.0, -50.0, -62.0, 255, 102, 255
L -5.0, -50.0, -62.0, -16.0, -63.0, -62.0, 255, 102, 255
L -16.0, -63.0, -62.0, -20.0, -65.0, -62.0, 255, 102, 255
L -20.0, -65.0, -62.0, -69.0, -65.0, -47.0, 255, 102, 255
L -69.0, -65.0, -47.0, -79.0, -61.0, -47.0, 255, 102, 255
L -79.0, -61.0, -47.0, -96.0, -70.0, -47.0, 255, 102, 255
L -96.0, -70.0, -47.0, -95.0, -60.0, -47.0, 255, 102, 255
L -95.0, -60.0, -47.0, -107.0, -46.0, -47.0, 255, 102, 255
L -107.0, -46.0, -47.0, -108.0, -37.0, -47.0, 255, 102, 255
L -108.0, -37.0, -47.0, -121.0, -26.0, -47.0, 255, 102, 255
L -121.0, -26.0, -47.0, -109.0, -13.0, -47.0, 255, 102, 255
L -109.0, -13.0, -47.0, -116.0, 0.0, -47.0, 255, 102, 255
L -116.0, 0.0, -47.0, -95.0, 17.0, -47.0, 255, 102, 255
L -95.0, 17.0, -47.0, -92.0, 30.0, -47.0, 255, 102, 255
L -92.0, 30.0, -47.0, -76.0, 42.0, -47.0, 255, 102, 255
L -76.0, 42.0, -47.0, -80.0, 63.0, -47.0, 255, 102, 255
L -80.0, 63.0, -47.0, -64.0, 59.0, -47.0, 255, 102, 255
L -64.0, 59.0, -47.0, -41.0, 90.0, -47.0, 255, 102, 255
L -41.0, 90.0, -47.0, -25.0, 82.0, -47.0, 255, 102, 255
L -25.0, 82.0, -47.0, 6.0, 97.0, -47.0, 255, 102, 255
L 6.0, 97.0, -47.0, 25.0, 120.0, -47.0, 255, 102, 255
L 25.0, 120.0, -47.0, 46.0, 107.0, -47.0, 255, 102, 255
L 78.0, 11.0, -47.0, 78.0, 5.0, -47.0, 255, 102, 255
L 78.0, 5.0, -47.0, 72.0, -4.0, -47.0, 255, 102, 255
L 72.0, -4.0, -47.0, 88.0, -14.0, -47.0, 255, 102, 255
L 88.0, -14.0, -47.0, 68.0, -31.0, -47.0, 255, 102, 255
L 68.0, -31.0, -47.0, 63.0, -43.0, -47.0, 255, 102, 255
L 63.0, -43.0, -47.0, 44.0, -56.0, -47.0, 255, 102, 255
L 44.0, -125.0, -62.0, 44.0, -78.0, -47.0, 255, 102, 255
L 44.0, -78.0, -47.0, 44.0, -56.0, -47.0, 255, 102, 255
L 44.0, -125.0, -62.0, 38.0, -132.0, -62.0, 255, 102, 255
L 38.0, -132.0, -61.0, 37.0, -120.0, -62.0, 255, 102, 255
L 37.0, -120.0, -62.0, 34.0, -102.0, -62.0, 255, 102, 255
L 34.0, -102.0, -62.0, 34.0, -89.0, -62.0, 255, 102, 255
L 5.0, -89.0, -62.0, 34.0, -89.0, -62.0, 255, 102, 255
L 5.0, -89.0, -62.0, 5.0, -83.0, -62.0, 255, 102, 255
L 5.0, -83.0, -61.0, 20.0, -77.0, -61.0, 255, 102, 255
L 20.0, -77.0, -61.0, 20.0, -60.0, -61.0, 255, 102, 255
L 20.0, -60.0, -61.0, 5.0, -49.0, -62.0, 255, 102, 255
L 5.0, -49.0, -62.0, 9.0, -40.0, -62.0, 255, 102, 255
L 9.0, -40.0, -62.0, 12.0, -26.0, -59.0, 255, 102, 255
L 12.0, -26.0, -59.0, 12.0, -12.0, -59.0, 255, 102, 255
L 12.0, -12.0, -59.0, 38.0, -13.0, -59.0, 255, 102, 255
L 38.0, -13.0, -59.0, 27.0, 0.0, -59.0, 255, 102, 255
L 27.0, 0.0, -59.0, 40.0, 11.0, -59.0, 255, 102, 255
L 40.0, 11.0, -59.0, 40.0, 38.0, -59.0, 255, 102, 255
L -1.0, 57.0, -59.0, -42.0, 38.0, -59.0, 255, 102, 255
L 40.0, 38.0, -59.0, -1.0, 57.0, -59.0, 255, 102, 255
L -16.0, -80.0, -62.0, -5.0, -83.0, -62.0, 255, 102, 255
L -5.0, -83.0, -62.0, -12.0, -89.0, -62.0, 255, 102, 255
L -12.0, -89.0, -62.0, -24.0, -113.0, -62.0, 255, 102, 255
L -24.0, -113.0, -62.0, -24.0, -127.0, -62.0, 255, 102, 255
L -24.0, -127.0, -62.0, -10.0, -140.0, -62.0, 255, 102, 255
L -10.0, -140.0, -62.0, 10.0, -140.0, -62.0, 255, 102, 255
L 10.0, -140.0, -62.0, 10.0, -154.0, -62.0, 255, 102, 255
L 10.0, -154.0, -62.0, 7.0, -157.0, -62.0, 255, 102, 255
L 7.0, -157.0, -62.0, -25.0, -157.0, -49.0, 255, 102, 255
L -25.0, -157.0, -49.0, -33.0, -137.0, -48.0, 255, 102, 255
L -33.0, -137.0, -47.0, -49.0, -137.0, -47.0, 255, 102, 255
L -49.0, -137.0, -47.0, -59.0, -140.0, -48.0, 255, 102, 255
L -59.0, -140.0, -48.0, -65.0, -137.0, -47.0, 255, 102, 255
L -65.0, -137.0, -47.0, -52.0, -124.0, -47.0, 255, 102, 255
L -52.0, -124.0, -47.0, -52.0, -111.0, -47.0, 255, 102, 255
L -52.0, -111.0, -47.0, -65.0, -99.0, -47.0, 255, 102, 255
L -65.0, -99.0, -46.0, -65.0, -95.0, -47.0, 255, 102, 255
L -65.0, -95.0, -47.0, -60.0, -98.0, -47.0, 255, 102, 255
L -60.0, -98.0, -47.0, -56.0, -95.0, -47.0, 255, 102, 255
L -56.0, -95.0, -47.0, -56.0, -89.0, -47.0, 255, 102, 255
L -56.0, -89.0, -47.0, -60.0, -84.0, -47.0, 255, 102, 255
L -60.0, -84.0, -47.0, -65.0, -85.0, -47.0, 255, 102, 255
L -65.0, -85.0, -47.0, -69.0, -86.0, -47.0, 255, 102, 255
L -69.0, -86.0, -47.0, -81.0, -97.0, -47.0, 255, 102, 255
L -81.0, -97.0, -47.0, -85.0, -125.0, -48.0, 255, 102, 255
L -85.0, -125.0, -48.0, -72.0, -137.0, -48.0, 255, 102, 255
L -72.0, -137.0, -48.0, -99.0, -134.0, -46.0, 255, 102, 255
L -99.0, -134.0, -46.0, -117.0, -134.0, -47.0, 255, 102, 255
L -117.0, -134.0, -47.0, -120.0, -127.0, -47.0, 255, 102, 255
L -120.0, -127.0, -47.0, -127.0, -120.0, -47.0, 255, 102, 255
L -127.0, -120.0, -47.0, -112.0, -98.0, -47.0, 255, 102, 255
L -112.0, -98.0, -47.0, -114.0, -85.0, -47.0, 255, 102, 255
L -114.0, -85.0, -47.0, -107.0, -83.0, -47.0, 255, 102, 255
L -107.0, -83.0, -47.0, -94.0, -83.0, -47.0, 255, 102, 255
L -94.0, -83.0, -47.0, -80.0, -88.0, -47.0, 255, 102, 255
L -80.0, -88.0, -47.0, -68.0, -77.0, -47.0, 255, 102, 255
L -68.0, -77.0, -47.0, -20.0, -77.0, -62.0, 255, 102, 255
L -20.0, -77.0, -62.0, -16.0, -80.0, -62.0, 255, 102, 255
